😀	obraz, režanje, režeči obraz
🚴🏾‍♂	fant, kolesar, kolesar: srednje temen ten kože, kolesarjenje, kolo, moški, srednje temen ten kože
🚴🏿‍♂	fant, kolesar, kolesar: temen ten kože, kolesarjenje, kolo, moški, temen ten kože
🚴‍♀	dekle, kolesarjenje, kolesarka, kolo, ženska
🚴🏻‍♀	dekle, kolesarjenje, kolesarka, kolesarka: svetel ten kože, kolo, svetel ten kože, ženska
🚴🏼‍♀	dekle, kolesarjenje, kolesarka, kolesarka: srednje svetel ten kože, kolo, srednje svetel ten kože, ženska
🚴🏽‍♀	dekle, kolesarjenje, kolesarka, kolesarka: srednji ten kože, kolo, srednji ten kože, ženska
🚴🏾‍♀	dekle, kolesarjenje, kolesarka, kolesarka: srednje temen ten kože, kolo, srednje temen ten kože, ženska
🚴🏿‍♀	dekle, kolesarjenje, kolesarka, kolesarka: temen ten kože, kolo, temen ten kože, ženska
🚵	gora, gorski kolesar, kolesar, kolo
🚵🏻	gora, gorski kolesar, gorski kolesar: svetel ten kože, kolesar, kolo, svetel ten kože
🚵🏼	gora, gorski kolesar, gorski kolesar: srednje svetel ten kože, kolesar, kolo, srednje svetel ten kože
🚵🏽	gora, gorski kolesar, gorski kolesar: srednji ten kože, kolesar, kolo, srednji ten kože
🚵🏾	gora, gorski kolesar, gorski kolesar: srednje temen ten kože, kolesar, kolo, srednje temen ten kože
🚵🏿	gora, gorski kolesar, gorski kolesar: temen ten kože, kolesar, kolo, temen ten kože
🚵‍♂	fant, gora, gorsko, kolesar, kolo, moški, moško gorsko kolesarjenje
🚵🏻‍♂	fant, gora, gorsko, kolesar, kolo, moški, moško gorsko kolesarjenje, moško gorsko kolesarjenje: svetel ten kože, svetel ten kože
🚵🏼‍♂	fant, gora, gorsko, kolesar, kolo, moški, moško gorsko kolesarjenje, moško gorsko kolesarjenje: srednje svetel ten kože, srednje svetel ten kože
🚵🏽‍♂	fant, gora, gorsko, kolesar, kolo, moški, moško gorsko kolesarjenje, moško gorsko kolesarjenje: srednji ten kože, srednji ten kože
🚵🏾‍♂	fant, gora, gorsko, kolesar, kolo, moški, moško gorsko kolesarjenje, moško gorsko kolesarjenje: srednje temen ten kože, srednje temen ten kože
🚵🏿‍♂	fant, gora, gorsko, kolesar, kolo, moški, moško gorsko kolesarjenje, moško gorsko kolesarjenje: temen ten kože, temen ten kože
🚵‍♀	dekle, gora, gorsko, kolesarka, kolo, ženska, žensko gorsko kolesarjenje
🚵🏻‍♀	dekle, gora, gorsko, kolesarka, kolo, svetel ten kože, ženska, žensko gorsko kolesarjenje, žensko gorsko kolesarjenje: svetel ten kože
🚵🏼‍♀	dekle, gora, gorsko, kolesarka, kolo, srednje svetel ten kože, ženska, žensko gorsko kolesarjenje, žensko gorsko kolesarjenje: srednje svetel ten kože
🚵🏽‍♀	dekle, gora, gorsko, kolesarka, kolo, srednji ten kože, ženska, žensko gorsko kolesarjenje, žensko gorsko kolesarjenje: srednji ten kože
🚵🏾‍♀	dekle, gora, gorsko, kolesarka, kolo, srednje temen ten kože, ženska, žensko gorsko kolesarjenje, žensko gorsko kolesarjenje: srednje temen ten kože
🚵🏿‍♀	dekle, gora, gorsko, kolesarka, kolo, temen ten kože, ženska, žensko gorsko kolesarjenje, žensko gorsko kolesarjenje: temen ten kože
🤸	gimnastika, kolo, oseba izvaja kolo, šport
🤸🏻	gimnastika, kolo, oseba izvaja kolo, oseba izvaja kolo: svetel ten kože, svetel ten kože, šport
🤸🏼	gimnastika, kolo, oseba izvaja kolo, oseba izvaja kolo: srednje svetel ten kože, srednje svetel ten kože, šport
🤸🏽	gimnastika, kolo, oseba izvaja kolo, oseba izvaja kolo: srednji ten kože, srednji ten kože, šport
🤸🏾	gimnastika, kolo, oseba izvaja kolo, oseba izvaja kolo: srednje temen ten kože, srednje temen ten kože, šport
🤸🏿	gimnastika, kolo, oseba izvaja kolo, oseba izvaja kolo: temen ten kože, temen ten kože, šport
🤸‍♂	fant, gimnastika, kolo, moški, moški, ki dela premet vstran, oseba, premet vstran, šport
🤸🏻‍♂	fant, gimnastika, kolo, moški, moški, ki dela premet vstran, moški, ki dela premet vstran: svetel ten kože, oseba, premet vstran, svetel ten kože, šport
🤸🏼‍♂	fant, gimnastika, kolo, moški, moški, ki dela premet vstran, moški, ki dela premet vstran: srednje svetel ten kože, oseba, premet vstran, srednje svetel ten kože, šport
🤸🏽‍♂	fant, gimnastika, kolo, moški, moški, ki dela premet vstran, moški, ki dela premet vstran: srednji ten kože, oseba, premet vstran, srednji ten kože, šport
🤸🏾‍♂	fant, gimnastika, kolo, moški, moški, ki dela premet vstran, moški, ki dela premet vstran: srednje temen ten kože, oseba, premet vstran, srednje temen ten kože, šport
🤸🏿‍♂	fant, gimnastika, kolo, moški, moški, ki dela premet vstran, moški, ki dela premet vstran: temen ten kože, oseba, premet vstran, temen ten kože, šport
🤸‍♀	dekle, gimnastika, kolo, oseba, premet vstran, šport, ženska, ženska, ki dela premet vstran
🤸🏻‍♀	dekle, gimnastika, kolo, oseba, premet vstran, svetel ten kože, šport, ženska, ženska, ki dela premet vstran, ženska, ki dela premet vstran: svetel ten kože
🤸🏼‍♀	dekle, gimnastika, kolo, oseba, premet vstran, srednje svetel ten kože, šport, ženska, ženska, ki dela premet vstran, ženska, ki dela premet vstran: srednje svetel ten kože
🤸🏽‍♀	dekle, gimnastika, kolo, oseba, premet vstran, srednji ten kože, šport, ženska, ženska, ki dela premet vstran, ženska, ki dela premet vstran: srednji ten kože
🤸🏾‍♀	dekle, gimnastika, kolo, oseba, premet vstran, srednje temen ten kože, šport, ženska, ženska, ki dela premet vstran, ženska, ki dela premet vstran: srednje temen ten kože
🤸🏿‍♀	dekle, gimnastika, kolo, oseba, premet vstran, temen ten kože, šport, ženska, ženska, ki dela premet vstran, ženska, ki dela premet vstran: temen ten kože
🤼	rokoborba, šport
🤼‍♂	fant, moška rokoborba, moški, oseba, rokoborba, šport
🤼‍♀	dekleta, oseba, rokoborba, šport, ženska, ženska rokoborba
🤽	bazen, vaterpolo, šport, žoga
🤽🏻	bazen, svetel ten kože, vaterpolo, vaterpolo: svetel ten kože, šport, žoga
🤽🏼	bazen, srednje svetel ten kože, vaterpolo, vaterpolo: srednje svetel ten kože, šport, žoga
🤽🏽	bazen, srednji ten kože, vaterpolo, vaterpolo: srednji ten kože, šport, žoga
🤽🏾	bazen, srednje temen ten kože, vaterpolo, vaterpolo: srednje temen ten kože, šport, žoga
🤽🏿	bazen, temen ten kože, vaterpolo, vaterpolo: temen ten kože, šport, žoga
🤽‍♂	fant, moški, moški vaterpolo, vaterpolo, šport
🤽🏻‍♂	fant, moški, moški vaterpolo: svetel ten kože, svetel ten kože, vaterpolo, šport
🤽🏼‍♂	fant, moški, moški vaterpolo: srednje svetel ten kože, srednje svetel ten kože, vaterpolo, šport
🤽🏽‍♂	fant, moški, moški vaterpolo: srednji ten kože, srednji ten kože, vaterpolo, šport
🤽🏾‍♂	fant, moški, moški vaterpolo: srednje temen ten kože, srednje temen ten kože, vaterpolo, šport
🤽🏿‍♂	fant, moški, moški vaterpolo: temen ten kože, temen ten kože, vaterpolo, šport
🤽‍♀	dekle, vaterpolo, šport, ženska, ženski vaterpolo
🤽🏻‍♀	dekle, svetel ten kože, vaterpolo, šport, ženska, ženski vaterpolo, ženski vaterpolo: svetel ten kože
🤽🏼‍♀	dekle, srednje svetel ten kože, vaterpolo, šport, ženska, ženski vaterpolo, ženski vaterpolo: srednje svetel ten kože
🤽🏽‍♀	dekle, srednji ten kože, vaterpolo, šport, ženska, ženski vaterpolo, ženski vaterpolo: srednji ten kože
🤽🏾‍♀	dekle, srednje temen ten kože, vaterpolo, šport, ženska, ženski vaterpolo, ženski vaterpolo: srednje temen ten kože
🤽🏿‍♀	dekle, temen ten kože, vaterpolo, šport, ženska, ženski vaterpolo, ženski vaterpolo: temen ten kože
🤾	rokomet, šport, žoga
🤾🏻	rokomet, rokomet: svetel ten kože, svetel ten kože, šport, žoga
🤾🏼	rokomet, rokomet: srednje svetel ten kože, srednje svetel ten kože, šport, žoga
🤾🏽	rokomet, rokomet: srednji ten kože, srednji ten kože, šport, žoga
🤾🏾	rokomet, rokomet: srednje temen ten kože, srednje temen ten kože, šport, žoga
🤾🏿	rokomet, rokomet: temen ten kože, temen ten kože, šport, žoga
🤾‍♂	fant, moški, rokomet, rokometaš, šport
🤾🏻‍♂	fant, moški, rokomet, rokometaš, rokometaš: svetel ten kože, svetel ten kože, šport
🤾🏼‍♂	fant, moški, rokomet, rokometaš, rokometaš: srednje svetel ten kože, srednje svetel ten kože, šport
🤾🏽‍♂	fant, moški, rokomet, rokometaš, rokometaš: srednji ten kože, srednji ten kože, šport
🤾🏾‍♂	fant, moški, rokomet, rokometaš, rokometaš: srednje temen ten kože, srednje temen ten kože, šport
🤾🏿‍♂	fant, moški, rokomet, rokometaš, rokometaš: temen ten kože, temen ten kože, šport
🤾‍♀	dekle, rokomet, rokometašica, šport, ženske
🤾🏻‍♀	dekle, rokomet, rokometašica, rokometašica: svetel ten kože, svetel ten kože, šport, ženske
🤾🏼‍♀	dekle, rokomet, rokometašica, rokometašica: srednje svetel ten kože, srednje svetel ten kože, šport, ženske
🤾🏽‍♀	dekle, rokomet, rokometašica, rokometašica: srednji ten kože, srednji ten kože, šport, ženske
🤾🏾‍♀	dekle, rokomet, rokometašica, rokometašica: srednje temen ten kože, srednje temen ten kože, šport, ženske
🤾🏿‍♀	dekle, rokomet, rokometašica, rokometašica: temen ten kože, temen ten kože, šport, ženske
🤹	ravnotežje, spretnost, večopravilnost, žongliranje
🤹🏻	ravnotežje, spretnost, svetel ten kože, večopravilnost, žongliranje, žongliranje: svetel ten kože
🤹🏼	ravnotežje, spretnost, srednje svetel ten kože, večopravilnost, žongliranje, žongliranje: srednje svetel ten kože
🤹🏽	ravnotežje, spretnost, srednji ten kože, večopravilnost, žongliranje, žongliranje: srednji ten kože
🤹🏾	ravnotežje, spretnost, srednje temen ten kože, večopravilnost, žongliranje, žongliranje: srednje temen ten kože
🤹🏿	ravnotežje, spretnost, temen ten kože, večopravilnost, žongliranje, žongliranje: temen ten kože
🤹‍♂	fant, moški, spretnost, večopravilnost, žongler, žongliranje
🤹🏻‍♂	fant, moški, spretnost, svetel ten kože, večopravilnost, žongler, žongler: svetel ten kože, žongliranje
🤹🏼‍♂	fant, moški, spretnost, srednje svetel ten kože, večopravilnost, žongler, žongler: srednje svetel ten kože, žongliranje
🤹🏽‍♂	fant, moški, spretnost, srednji ten kože, večopravilnost, žongler, žongler: srednji ten kože, žongliranje
🤹🏾‍♂	fant, moški, spretnost, srednje temen ten kože, večopravilnost, žongler, žongler: srednje temen ten kože, žongliranje
🤹🏿‍♂	fant, moški, spretnost, temen ten kože, večopravilnost, žongler, žongler: temen ten kože, žongliranje
🤹‍♀	dekle, spretnost, večopravilnost, ženska, žonglerka, žongliranje
🤹🏻‍♀	dekle, spretnost, svetel ten kože, večopravilnost, ženska, žonglerka, žonglerka: svetel ten kože, žongliranje
🤹🏼‍♀	dekle, spretnost, srednje svetel ten kože, večopravilnost, ženska, žonglerka, žonglerka: srednje svetel ten kože, žongliranje
🤹🏽‍♀	dekle, spretnost, srednji ten kože, večopravilnost, ženska, žonglerka, žonglerka: srednji ten kože, žongliranje
🤹🏾‍♀	dekle, spretnost, srednje temen ten kože, večopravilnost, ženska, žonglerka, žonglerka: srednje temen ten kože, žongliranje
🤹🏿‍♀	dekle, spretnost, temen ten kože, večopravilnost, ženska, žonglerka, žonglerka: temen ten kože, žongliranje
🧘	oseba v lotusovem položaju
🧘🏻	oseba v lotusovem položaju, oseba v lotusovem položaju: svetel ten kože, svetel ten kože
🧘🏼	oseba v lotusovem položaju, oseba v lotusovem položaju: srednje svetel ten kože, srednje svetel ten kože
🧘🏽	oseba v lotusovem položaju, oseba v lotusovem položaju: srednji ten kože, srednji ten kože
🧘🏾	oseba v lotusovem položaju, oseba v lotusovem položaju: srednje temen ten kože, srednje temen ten kože
🧘🏿	oseba v lotusovem položaju, oseba v lotusovem položaju: temen ten kože, temen ten kože
🧘‍♂	moški v lotusovem položaju
🧘🏻‍♂	moški v lotusovem položaju, moški v lotusovem položaju: svetel ten kože, svetel ten kože
🧘🏼‍♂	moški v lotusovem položaju, moški v lotusovem položaju: srednje svetel ten kože, srednje svetel ten kože
🧘🏽‍♂	moški v lotusovem položaju, moški v lotusovem položaju: srednji ten kože, srednji ten kože
🧘🏾‍♂	moški v lotusovem položaju, moški v lotusovem položaju: srednje temen ten kože, srednje temen ten kože
🧘🏿‍♂	moški v lotusovem položaju, moški v lotusovem položaju: temen ten kože, temen ten kože
🧘‍♀	ženska v lotusovem položaju
🧘🏻‍♀	svetel ten kože, ženska v lotusovem položaju, ženska v lotusovem položaju: svetel ten kože
🧘🏼‍♀	srednje svetel ten kože, ženska v lotusovem položaju, ženska v lotusovem položaju: srednje svetel ten kože
🧘🏽‍♀	srednji ten kože, ženska v lotusovem položaju, ženska v lotusovem položaju: srednji ten kože
🧘🏾‍♀	srednje temen ten kože, ženska v lotusovem položaju, ženska v lotusovem položaju: srednje temen ten kože
🧘🏿‍♀	temen ten kože, ženska v lotusovem položaju, ženska v lotusovem položaju: temen ten kože
🛀	kad, kopel, oseba, ki se kopa
🛀🏻	kad, kopel, oseba, ki se kopa, oseba, ki se kopa: svetel ten kože, svetel ten kože
🛀🏼	kad, kopel, oseba, ki se kopa, oseba, ki se kopa: srednje svetel ten kože, srednje svetel ten kože
🛀🏽	kad, kopel, oseba, ki se kopa, oseba, ki se kopa: srednji ten kože, srednji ten kože
🛀🏾	kad, kopel, oseba, ki se kopa, oseba, ki se kopa: srednje temen ten kože, srednje temen ten kože
🛀🏿	kad, kopel, oseba, ki se kopa, oseba, ki se kopa: temen ten kože, temen ten kože
🛌	hotel, oseba v postelji, spanje
🛌🏻	hotel, oseba v postelji, oseba v postelji: svetel ten kože, spanje, svetel ten kože
🛌🏼	hotel, oseba v postelji, oseba v postelji: srednje svetel ten kože, spanje, srednje svetel ten kože
🛌🏽	hotel, oseba v postelji, oseba v postelji: srednji ten kože, spanje, srednji ten kože
🛌🏾	hotel, oseba v postelji, oseba v postelji: srednje temen ten kože, spanje, srednje temen ten kože
🛌🏿	hotel, oseba v postelji, oseba v postelji: temen ten kože, spanje, temen ten kože
👭	držati, par, roka, ženska, ženski se držita za roke
👭🏻	držati, par, roka, svetel ten kože, ženska, ženski se držita za roke, ženski se držita za roke: svetel ten kože
👩🏼‍🤝‍👩🏻	držati, par, roka, srednje svetel ten kože, svetel ten kože, ženska, ženski se držita za roke, ženski se držita za roke: srednje svetel ten kože in svetel ten kože
👭🏼	držati, par, roka, srednje svetel ten kože, ženska, ženski se držita za roke, ženski se držita za roke: srednje svetel ten kože
👩🏽‍🤝‍👩🏻	držati, par, roka, srednji ten kože, svetel ten kože, ženska, ženski se držita za roke, ženski se držita za roke: srednji ten kože in svetel ten kože
👩🏽‍🤝‍👩🏼	držati, par, roka, srednje svetel ten kože, srednji ten kože, ženska, ženski se držita za roke, ženski se držita za roke: srednji ten kože in srednje svetel ten kože
👭🏽	držati, par, roka, srednji ten kože, ženska, ženski se držita za roke, ženski se držita za roke: srednji ten kože
👩🏾‍🤝‍👩🏻	držati, par, roka, srednje temen ten kože, svetel ten kože, ženska, ženski se držita za roke, ženski se držita za roke: srednje temen ten kože in svetel ten kože
👩🏾‍🤝‍👩🏼	držati, par, roka, srednje svetel ten kože, srednje temen ten kože, ženska, ženski se držita za roke, ženski se držita za roke: srednje temen ten kože in srednje svetel ten kože
👩🏾‍🤝‍👩🏽	držati, par, roka, srednje temen ten kože, srednji ten kože, ženska, ženski se držita za roke, ženski se držita za roke: srednje temen ten kože in srednji ten kože
👭🏾	držati, par, roka, srednje temen ten kože, ženska, ženski se držita za roke, ženski se držita za roke: srednje temen ten kože
👩🏿‍🤝‍👩🏻	držati, par, roka, svetel ten kože, temen ten kože, ženska, ženski se držita za roke, ženski se držita za roke: temen ten kože in svetel ten kože
