😀	ಮುಖ, ಹಾಸ್ಯ, ಹಾಸ್ಯದ ಮುಖ
🏂🏾	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ಕೀ, ಸ್ನೋಬಾರ್ಡರ್, ಸ್ನೋಬಾರ್ಡರ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ನೋಬೋರ್ಡ್, ಹಿಮ
🏂🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ಕೀ, ಸ್ನೋಬಾರ್ಡರ್, ಸ್ನೋಬಾರ್ಡರ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ನೋಬೋರ್ಡ್, ಹಿಮ
🏌️	ಗಾಲ್ಫ್, ಗಾಲ್ಫ್ ಆಟಗಾರ, ಚೆಂಡು, ಬಾಲ್
🏌🏻	ಗಾಲ್ಫ್, ಗಾಲ್ಫ್ ಆಟಗಾರ, ಗಾಲ್ಫ್ ಆಟಗಾರ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಾಲ್
🏌🏼	ಗಾಲ್ಫ್, ಗಾಲ್ಫ್ ಆಟಗಾರ, ಗಾಲ್ಫ್ ಆಟಗಾರ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ಬಾಲ್, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏌🏽	ಗಾಲ್ಫ್, ಗಾಲ್ಫ್ ಆಟಗಾರ, ಗಾಲ್ಫ್ ಆಟಗಾರ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ಬಾಲ್, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🏌🏾	ಗಾಲ್ಫ್, ಗಾಲ್ಫ್ ಆಟಗಾರ, ಗಾಲ್ಫ್ ಆಟಗಾರ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ಬಾಲ್, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏌🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಲ್ಫ್, ಗಾಲ್ಫ್ ಆಟಗಾರ, ಗಾಲ್ಫ್ ಆಟಗಾರ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ಬಾಲ್
🏌‍♂	ಗಂಡಸು, ಗಾಲ್ಫ್, ಪುರುಷ, ಪುರುಷ ಗಾಲ್ಫರ್
🏌🏻‍♂	ಗಂಡಸು, ಗಾಲ್ಫ್, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಪುರುಷ ಗಾಲ್ಫರ್, ಪುರುಷ ಗಾಲ್ಫರ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏌🏼‍♂	ಗಂಡಸು, ಗಾಲ್ಫ್, ಪುರುಷ, ಪುರುಷ ಗಾಲ್ಫರ್, ಪುರುಷ ಗಾಲ್ಫರ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏌🏽‍♂	ಗಂಡಸು, ಗಾಲ್ಫ್, ಪುರುಷ, ಪುರುಷ ಗಾಲ್ಫರ್, ಪುರುಷ ಗಾಲ್ಫರ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🏌🏾‍♂	ಗಂಡಸು, ಗಾಲ್ಫ್, ಪುರುಷ, ಪುರುಷ ಗಾಲ್ಫರ್, ಪುರುಷ ಗಾಲ್ಫರ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏌🏿‍♂	ಗಂಡಸು, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಲ್ಫ್, ಪುರುಷ, ಪುರುಷ ಗಾಲ್ಫರ್, ಪುರುಷ ಗಾಲ್ಫರ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏌‍♀	ಗಾಲ್ಫ್, ಮಹಿಳಾ ಗಾಲ್ಫರ್, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🏌🏻‍♀	ಗಾಲ್ಫ್, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳಾ ಗಾಲ್ಫರ್, ಮಹಿಳಾ ಗಾಲ್ಫರ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🏌🏼‍♀	ಗಾಲ್ಫ್, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳಾ ಗಾಲ್ಫರ್, ಮಹಿಳಾ ಗಾಲ್ಫರ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🏌🏽‍♀	ಗಾಲ್ಫ್, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳಾ ಗಾಲ್ಫರ್, ಮಹಿಳಾ ಗಾಲ್ಫರ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🏌🏾‍♀	ಗಾಲ್ಫ್, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳಾ ಗಾಲ್ಫರ್, ಮಹಿಳಾ ಗಾಲ್ಫರ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🏌🏿‍♀	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಲ್ಫ್, ಮಹಿಳಾ ಗಾಲ್ಫರ್, ಮಹಿಳಾ ಗಾಲ್ಫರ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🏄️	ಸರ್ಫರ್, ಸರ್ಫಿಂಗ್
🏄🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸರ್ಫರ್, ಸರ್ಫರ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸರ್ಫಿಂಗ್
🏄🏼	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸರ್ಫರ್, ಸರ್ಫರ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸರ್ಫಿಂಗ್
🏄🏽	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸರ್ಫರ್, ಸರ್ಫರ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸರ್ಫಿಂಗ್
🏄🏾	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸರ್ಫರ್, ಸರ್ಫರ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸರ್ಫಿಂಗ್
🏄🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸರ್ಫರ್, ಸರ್ಫರ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸರ್ಫಿಂಗ್
🏄‍♂	ಪುರುಷ, ವ್ಯಕ್ತಿ, ಸರ್ಫಿಂಗ್, ಸರ್ಫಿಂಗ್ ಪುರುಷ
🏄🏻‍♂	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ವ್ಯಕ್ತಿ, ಸರ್ಫಿಂಗ್, ಸರ್ಫಿಂಗ್ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏄🏼‍♂	ಪುರುಷ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ, ಸರ್ಫಿಂಗ್, ಸರ್ಫಿಂಗ್ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏄🏽‍♂	ಪುರುಷ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ, ಸರ್ಫಿಂಗ್, ಸರ್ಫಿಂಗ್ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🏄🏾‍♂	ಪುರುಷ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ, ಸರ್ಫಿಂಗ್, ಸರ್ಫಿಂಗ್ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏄🏿‍♂	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ವ್ಯಕ್ತಿ, ಸರ್ಫಿಂಗ್, ಸರ್ಫಿಂಗ್ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏄‍♀	ಮಹಿಳೆ, ಸರ್ಫಿಂಗ್, ಸರ್ಫಿಂಗ್ ಮಹಿಳೆ, ಸ್ತ್ರೀ
🏄🏻‍♀	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರ್ಫಿಂಗ್, ಸರ್ಫಿಂಗ್ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ
🏄🏼‍♀	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರ್ಫಿಂಗ್, ಸರ್ಫಿಂಗ್ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ
🏄🏽‍♀	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರ್ಫಿಂಗ್, ಸರ್ಫಿಂಗ್ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ
🏄🏾‍♀	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರ್ಫಿಂಗ್, ಸರ್ಫಿಂಗ್ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ
🏄🏿‍♀	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರ್ಫಿಂಗ್, ಸರ್ಫಿಂಗ್ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ
🚣	ದೋಣಿ, ದೋಣಿ ನಡೆಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಹಾಯಿದೋಣಿ
🚣🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ದೋಣಿ, ದೋಣಿ ನಡೆಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ದೋಣಿ ನಡೆಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹಾಯಿದೋಣಿ
🚣🏼	ದೋಣಿ, ದೋಣಿ ನಡೆಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ದೋಣಿ ನಡೆಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹಾಯಿದೋಣಿ
🚣🏽	ದೋಣಿ, ದೋಣಿ ನಡೆಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ದೋಣಿ ನಡೆಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಹಾಯಿದೋಣಿ
🚣🏾	ದೋಣಿ, ದೋಣಿ ನಡೆಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ದೋಣಿ ನಡೆಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹಾಯಿದೋಣಿ
🚣🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ದೋಣಿ, ದೋಣಿ ನಡೆಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ದೋಣಿ ನಡೆಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹಾಯಿದೋಣಿ
🚣‍♂	ದೋಣಿ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಪುರುಷ, ಪುರುಷ, ಹಾಯಿದೋಣಿ
🚣🏻‍♂	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ದೋಣಿ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಪುರುಷ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಹಾಯಿದೋಣಿ
🚣🏼‍♂	ದೋಣಿ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಪುರುಷ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹಾಯಿದೋಣಿ
🚣🏽‍♂	ದೋಣಿ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಪುರುಷ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಹಾಯಿದೋಣಿ
🚣🏾‍♂	ದೋಣಿ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಪುರುಷ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹಾಯಿದೋಣಿ
🚣🏿‍♂	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ದೋಣಿ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಪುರುಷ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಹಾಯಿದೋಣಿ
🚣‍♀	ದೋಣಿ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಮಹಿಳೆ, ಸ್ತ್ರೀ, ಹಾಯಿದೋಣಿ
🚣🏻‍♀	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ದೋಣಿ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಮಹಿಳೆ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ, ಹಾಯಿದೋಣಿ
🚣🏼‍♀	ದೋಣಿ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಮಹಿಳೆ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ, ಹಾಯಿದೋಣಿ
🚣🏽‍♀	ದೋಣಿ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಮಹಿಳೆ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ, ಹಾಯಿದೋಣಿ
🚣🏾‍♀	ದೋಣಿ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಮಹಿಳೆ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ, ಹಾಯಿದೋಣಿ
🚣🏿‍♀	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ದೋಣಿ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಮಹಿಳೆ, ದೋಣಿ ಹುಟ್ಟುಹಾಕುತ್ತಿರುವ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ, ಹಾಯಿದೋಣಿ
🏊️	ಈಜುಗಾರ, ಈಜುವಿಕೆ
🏊🏻	ಈಜುಗಾರ, ಈಜುಗಾರ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಈಜುವಿಕೆ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏊🏼	ಈಜುಗಾರ, ಈಜುಗಾರ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಈಜುವಿಕೆ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🏊🏽	ಈಜುಗಾರ, ಈಜುಗಾರ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಈಜುವಿಕೆ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🏊🏾	ಈಜುಗಾರ, ಈಜುಗಾರ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಈಜುವಿಕೆ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏊🏿	ಈಜುಗಾರ, ಈಜುಗಾರ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಈಜುವಿಕೆ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🏊‍♂	ಈಜು, ಈಜುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಪುರುಷ, ವ್ಯಕ್ತಿ
🏊🏻‍♂	ಈಜು, ಈಜುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಈಜುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ವ್ಯಕ್ತಿ
🏊🏼‍♂	ಈಜು, ಈಜುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಈಜುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
🏊🏽‍♂	ಈಜು, ಈಜುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಈಜುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
🏊🏾‍♂	ಈಜು, ಈಜುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಈಜುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
🏊🏿‍♂	ಈಜು, ಈಜುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಈಜುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ವ್ಯಕ್ತಿ
🏊‍♀	ಈಜು, ಈಜುತ್ತಿರುವ ಮಹಿಳೆ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🏊🏻‍♀	ಈಜು, ಈಜುತ್ತಿರುವ ಮಹಿಳೆ, ಈಜುತ್ತಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🏊🏼‍♀	ಈಜು, ಈಜುತ್ತಿರುವ ಮಹಿಳೆ, ಈಜುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🏊🏽‍♀	ಈಜು, ಈಜುತ್ತಿರುವ ಮಹಿಳೆ, ಈಜುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🏊🏾‍♀	ಈಜು, ಈಜುತ್ತಿರುವ ಮಹಿಳೆ, ಈಜುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🏊🏿‍♀	ಈಜು, ಈಜುತ್ತಿರುವ ಮಹಿಳೆ, ಈಜುತ್ತಿರುವ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
⛹️	ಚೆಂಡಿನೊಂದಿಗೆ ವ್ಯಕ್ತಿ, ಚೆಂಡು
⛹🏻	ಚೆಂಡಿನೊಂದಿಗೆ ವ್ಯಕ್ತಿ, ಚೆಂಡಿನೊಂದಿಗೆ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
⛹🏼	ಚೆಂಡಿನೊಂದಿಗೆ ವ್ಯಕ್ತಿ, ಚೆಂಡಿನೊಂದಿಗೆ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
⛹🏽	ಚೆಂಡಿನೊಂದಿಗೆ ವ್ಯಕ್ತಿ, ಚೆಂಡಿನೊಂದಿಗೆ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
⛹🏾	ಚೆಂಡಿನೊಂದಿಗೆ ವ್ಯಕ್ತಿ, ಚೆಂಡಿನೊಂದಿಗೆ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
⛹🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡಿನೊಂದಿಗೆ ವ್ಯಕ್ತಿ, ಚೆಂಡಿನೊಂದಿಗೆ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು
⛹‍♂	ಚೆಂಡಿನೊಂದಿಗೆ ಪುರುಷ, ಚೆಂಡು, ಪುರುಷ, ವ್ಯಕ್ತಿ
⛹🏻‍♂	ಚೆಂಡಿನೊಂದಿಗೆ ಪುರುಷ, ಚೆಂಡಿನೊಂದಿಗೆ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ವ್ಯಕ್ತಿ
⛹🏼‍♂	ಚೆಂಡಿನೊಂದಿಗೆ ಪುರುಷ, ಚೆಂಡಿನೊಂದಿಗೆ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ಪುರುಷ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
⛹🏽‍♂	ಚೆಂಡಿನೊಂದಿಗೆ ಪುರುಷ, ಚೆಂಡಿನೊಂದಿಗೆ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ಪುರುಷ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
⛹🏾‍♂	ಚೆಂಡಿನೊಂದಿಗೆ ಪುರುಷ, ಚೆಂಡಿನೊಂದಿಗೆ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ಪುರುಷ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
⛹🏿‍♂	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡಿನೊಂದಿಗೆ ಪುರುಷ, ಚೆಂಡಿನೊಂದಿಗೆ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಚೆಂಡು, ಪುರುಷ, ವ್ಯಕ್ತಿ
