😀	față, față încântată, încântare
🧗🏿‍♂	bărbat care se cațără, bărbat care se cațără: ton închis al pielii, cățărare, cățărătoare, ton închis al pielii
🧗‍♀	cățărare, cățărător, femeie care se cațără
🧗🏻‍♀	cățărare, cățărător, femeie care se cațără, femeie care se cațără: ton deschis al pielii, ton deschis al pielii
🧗🏼‍♀	cățărare, cățărător, femeie care se cațără, femeie care se cațără: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🧗🏽‍♀	cățărare, cățărător, femeie care se cațără, femeie care se cațără: ton mediu al pielii, ton mediu al pielii
🧗🏾‍♀	cățărare, cățărător, femeie care se cațără, femeie care se cațără: ton semi‑închis al pielii, ton semi‑închis al pielii
🧗🏿‍♀	cățărare, cățărător, femeie care se cațără, femeie care se cațără: ton închis al pielii, ton închis al pielii
🤺	om, persoană care practică scrima, sabie, scrimer, scrimeră, scrimă
🏇	cal, concurs, curse de cai, cursă, jocheu
🏇🏻	cal, concurs, curse de cai, curse de cai: ton deschis al pielii, cursă, jocheu, ton deschis al pielii
🏇🏼	cal, concurs, curse de cai, curse de cai: ton semi‑deschis al pielii, cursă, jocheu, ton semi‑deschis al pielii
🏇🏽	cal, concurs, curse de cai, curse de cai: ton mediu al pielii, cursă, jocheu, ton mediu al pielii
🏇🏾	cal, concurs, curse de cai, curse de cai: ton semi‑închis al pielii, cursă, jocheu, ton semi‑închis al pielii
🏇🏿	cal, concurs, curse de cai, curse de cai: ton închis al pielii, cursă, jocheu, ton închis al pielii
⛷️	persoană care schiază, schi, schior, zăpadă
🏂️	persoană care practică snow-board, placă, practicant de snow-board, zăpadă
🏂🏻	persoană care practică snow-board, persoană care practică snow-board: ton deschis al pielii, placă, practicant de snow-board, ton deschis al pielii, zăpadă
🏂🏼	persoană care practică snow-board, persoană care practică snow-board: ton semi‑deschis al pielii, placă, practicant de snow-board, ton semi‑deschis al pielii, zăpadă
🏂🏽	persoană care practică snow-board, persoană care practică snow-board: ton mediu al pielii, placă, practicant de snow-board, ton mediu al pielii, zăpadă
🏂🏾	persoană care practică snow-board, persoană care practică snow-board: ton semi‑închis al pielii, placă, practicant de snow-board, ton semi‑închis al pielii, zăpadă
🏂🏿	persoană care practică snow-board, persoană care practică snow-board: ton închis al pielii, placă, practicant de snow-board, ton închis al pielii, zăpadă
🏌️	golf, minge, persoană care joacă golf
🏌🏻	golf, minge, persoană care joacă golf, persoană care joacă golf: ton deschis al pielii, ton deschis al pielii
🏌🏼	golf, minge, persoană care joacă golf, persoană care joacă golf: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🏌🏽	golf, minge, persoană care joacă golf, persoană care joacă golf: ton mediu al pielii, ton mediu al pielii
🏌🏾	golf, minge, persoană care joacă golf, persoană care joacă golf: ton semi‑închis al pielii, ton semi‑închis al pielii
🏌🏿	golf, minge, persoană care joacă golf, persoană care joacă golf: ton închis al pielii, ton închis al pielii
🏌‍♂	bărbat, bărbat care joacă golf, golf
🏌🏻‍♂	bărbat, bărbat care joacă golf, bărbat care joacă golf: ton deschis al pielii, golf, ton deschis al pielii
🏌🏼‍♂	bărbat, bărbat care joacă golf, bărbat care joacă golf: ton semi‑deschis al pielii, golf, ton semi‑deschis al pielii
🏌🏽‍♂	bărbat, bărbat care joacă golf, bărbat care joacă golf: ton mediu al pielii, golf, ton mediu al pielii
🏌🏾‍♂	bărbat, bărbat care joacă golf, bărbat care joacă golf: ton semi‑închis al pielii, golf, ton semi‑închis al pielii
🏌🏿‍♂	bărbat, bărbat care joacă golf, bărbat care joacă golf: ton închis al pielii, golf, ton închis al pielii
🏌‍♀	femeie, femeie care joacă golf, golf
🏌🏻‍♀	femeie, femeie care joacă golf, femeie care joacă golf: ton deschis al pielii, golf, ton deschis al pielii
🏌🏼‍♀	femeie, femeie care joacă golf, femeie care joacă golf: ton semi‑deschis al pielii, golf, ton semi‑deschis al pielii
🏌🏽‍♀	femeie, femeie care joacă golf, femeie care joacă golf: ton mediu al pielii, golf, ton mediu al pielii
🏌🏾‍♀	femeie, femeie care joacă golf, femeie care joacă golf: ton semi‑închis al pielii, golf, ton semi‑închis al pielii
🏌🏿‍♀	femeie, femeie care joacă golf, femeie care joacă golf: ton închis al pielii, golf, ton închis al pielii
🏄️	ocean, persoană care practică surfing, placă, practicant de surfing, surfing, valuri
🏄🏻	ocean, persoană care practică surfing, persoană care practică surfing: ton deschis al pielii, placă, practicant de surfing, surfing, ton deschis al pielii, valuri
🏄🏼	ocean, persoană care practică surfing, persoană care practică surfing: ton semi‑deschis al pielii, placă, practicant de surfing, surfing, ton semi‑deschis al pielii, valuri
🏄🏽	ocean, persoană care practică surfing, persoană care practică surfing: ton mediu al pielii, placă, practicant de surfing, surfing, ton mediu al pielii, valuri
🏄🏾	ocean, persoană care practică surfing, persoană care practică surfing: ton semi‑închis al pielii, placă, practicant de surfing, surfing, ton semi‑închis al pielii, valuri
🏄🏿	ocean, persoană care practică surfing, persoană care practică surfing: ton închis al pielii, placă, practicant de surfing, surfing, ton închis al pielii, valuri
🏄‍♂	bărbat, bărbat care practică surfing, bărbat la surfing, surfing
🏄🏻‍♂	bărbat, bărbat care practică surfing, bărbat care practică surfing: ton deschis al pielii, bărbat la surfing, surfing, ton deschis al pielii
🏄🏼‍♂	bărbat, bărbat care practică surfing, bărbat care practică surfing: ton semi‑deschis al pielii, bărbat la surfing, surfing, ton semi‑deschis al pielii
🏄🏽‍♂	bărbat, bărbat care practică surfing, bărbat care practică surfing: ton mediu al pielii, bărbat la surfing, surfing, ton mediu al pielii
🏄🏾‍♂	bărbat, bărbat care practică surfing, bărbat care practică surfing: ton semi‑închis al pielii, bărbat la surfing, surfing, ton semi‑închis al pielii
🏄🏿‍♂	bărbat, bărbat care practică surfing, bărbat care practică surfing: ton închis al pielii, bărbat la surfing, surfing, ton închis al pielii
🏄‍♀	femeie, femeie care practică surfing, femeie la surfing, surfing
🏄🏻‍♀	femeie, femeie care practică surfing, femeie care practică surfing: ton deschis al pielii, femeie la surfing, surfing, ton deschis al pielii
🏄🏼‍♀	femeie, femeie care practică surfing, femeie care practică surfing: ton semi‑deschis al pielii, femeie la surfing, surfing, ton semi‑deschis al pielii
🏄🏽‍♀	femeie, femeie care practică surfing, femeie care practică surfing: ton mediu al pielii, femeie la surfing, surfing, ton mediu al pielii
🏄🏾‍♀	femeie, femeie care practică surfing, femeie care practică surfing: ton semi‑închis al pielii, femeie la surfing, surfing, ton semi‑închis al pielii
🏄🏿‍♀	femeie, femeie care practică surfing, femeie care practică surfing: ton închis al pielii, femeie la surfing, surfing, ton închis al pielii
🚣	barcă, persoană care vâslește în barcă, vâsle
🚣🏻	barcă, persoană care vâslește în barcă, persoană care vâslește în barcă: ton deschis al pielii, ton deschis al pielii, vâsle
🚣🏼	barcă, persoană care vâslește în barcă, persoană care vâslește în barcă: ton semi‑deschis al pielii, ton semi‑deschis al pielii, vâsle
🚣🏽	barcă, persoană care vâslește în barcă, persoană care vâslește în barcă: ton mediu al pielii, ton mediu al pielii, vâsle
🚣🏾	barcă, persoană care vâslește în barcă, persoană care vâslește în barcă: ton semi‑închis al pielii, ton semi‑închis al pielii, vâsle
🚣🏿	barcă, persoană care vâslește în barcă, persoană care vâslește în barcă: ton închis al pielii, ton închis al pielii, vâsle
🚣‍♂	barcă, bărbat, bărbat care vâslește în barcă, vâsle
🚣🏻‍♂	barcă, bărbat, bărbat care vâslește în barcă, bărbat care vâslește în barcă: ton deschis al pielii, ton deschis al pielii, vâsle
🚣🏼‍♂	barcă, bărbat, bărbat care vâslește în barcă, bărbat care vâslește în barcă: ton semi‑deschis al pielii, ton semi‑deschis al pielii, vâsle
🚣🏽‍♂	barcă, bărbat, bărbat care vâslește în barcă, bărbat care vâslește în barcă: ton mediu al pielii, ton mediu al pielii, vâsle
🚣🏾‍♂	barcă, bărbat, bărbat care vâslește în barcă, bărbat care vâslește în barcă: ton semi‑închis al pielii, ton semi‑închis al pielii, vâsle
🚣🏿‍♂	barcă, bărbat, bărbat care vâslește în barcă, bărbat care vâslește în barcă: ton închis al pielii, ton închis al pielii, vâsle
🚣‍♀	barcă, femeie, femeie care vâslește în barcă, vâsle
🚣🏻‍♀	barcă, femeie, femeie care vâslește în barcă, femeie care vâslește în barcă: ton deschis al pielii, ton deschis al pielii, vâsle
🚣🏼‍♀	barcă, femeie, femeie care vâslește în barcă, femeie care vâslește în barcă: ton semi‑deschis al pielii, ton semi‑deschis al pielii, vâsle
🚣🏽‍♀	barcă, femeie, femeie care vâslește în barcă, femeie care vâslește în barcă: ton mediu al pielii, ton mediu al pielii, vâsle
🚣🏾‍♀	barcă, femeie, femeie care vâslește în barcă, femeie care vâslește în barcă: ton semi‑închis al pielii, ton semi‑închis al pielii, vâsle
🚣🏿‍♀	barcă, femeie, femeie care vâslește în barcă, femeie care vâslește în barcă: ton închis al pielii, ton închis al pielii, vâsle
🏊️	natație, persoană care înoată, înot
🏊🏻	natație, persoană care înoată, persoană care înoată: ton deschis al pielii, ton deschis al pielii, înot
🏊🏼	natație, persoană care înoată, persoană care înoată: ton semi‑deschis al pielii, ton semi‑deschis al pielii, înot
🏊🏽	natație, persoană care înoată, persoană care înoată: ton mediu al pielii, ton mediu al pielii, înot
🏊🏾	natație, persoană care înoată, persoană care înoată: ton semi‑închis al pielii, ton semi‑închis al pielii, înot
🏊🏿	natație, persoană care înoată, persoană care înoată: ton închis al pielii, ton închis al pielii, înot
🏊‍♂	bărbat, bărbat care înoată, natație, înot
🏊🏻‍♂	bărbat, bărbat care înoată, bărbat care înoată: ton deschis al pielii, natație, ton deschis al pielii, înot
🏊🏼‍♂	bărbat, bărbat care înoată, bărbat care înoată: ton semi‑deschis al pielii, natație, ton semi‑deschis al pielii, înot
🏊🏽‍♂	bărbat, bărbat care înoată, bărbat care înoată: ton mediu al pielii, natație, ton mediu al pielii, înot
🏊🏾‍♂	bărbat, bărbat care înoată, bărbat care înoată: ton semi‑închis al pielii, natație, ton semi‑închis al pielii, înot
🏊🏿‍♂	bărbat, bărbat care înoată, bărbat care înoată: ton închis al pielii, natație, ton închis al pielii, înot
🏊‍♀	femeie, femeie care înoată, natație, înot
🏊🏻‍♀	femeie, femeie care înoată, femeie care înoată: ton deschis al pielii, natație, ton deschis al pielii, înot
🏊🏼‍♀	femeie, femeie care înoată, femeie care înoată: ton semi‑deschis al pielii, natație, ton semi‑deschis al pielii, înot
🏊🏽‍♀	femeie, femeie care înoată, femeie care înoată: ton mediu al pielii, natație, ton mediu al pielii, înot
🏊🏾‍♀	femeie, femeie care înoată, femeie care înoată: ton semi‑închis al pielii, natație, ton semi‑închis al pielii, înot
🏊🏿‍♀	femeie, femeie care înoată, femeie care înoată: ton închis al pielii, natație, ton închis al pielii, înot
⛹️	minge, om, persoană care bate mingea
⛹🏻	minge, om, persoană care bate mingea, persoană care bate mingea: ton deschis al pielii, ton deschis al pielii
⛹🏼	minge, om, persoană care bate mingea, persoană care bate mingea: ton semi‑deschis al pielii, ton semi‑deschis al pielii
⛹🏽	minge, om, persoană care bate mingea, persoană care bate mingea: ton mediu al pielii, ton mediu al pielii
⛹🏾	minge, om, persoană care bate mingea, persoană care bate mingea: ton semi‑închis al pielii, ton semi‑închis al pielii
⛹🏿	minge, om, persoană care bate mingea, persoană care bate mingea: ton închis al pielii, ton închis al pielii
⛹‍♂	bărbat, bărbat care bate mingea, minge
⛹🏻‍♂	bărbat, bărbat care bate mingea, bărbat care bate mingea: ton deschis al pielii, minge, ton deschis al pielii
⛹🏼‍♂	bărbat, bărbat care bate mingea, bărbat care bate mingea: ton semi‑deschis al pielii, minge, ton semi‑deschis al pielii
⛹🏽‍♂	bărbat, bărbat care bate mingea, bărbat care bate mingea: ton mediu al pielii, minge, ton mediu al pielii
⛹🏾‍♂	bărbat, bărbat care bate mingea, bărbat care bate mingea: ton semi‑închis al pielii, minge, ton semi‑închis al pielii
⛹🏿‍♂	bărbat, bărbat care bate mingea, bărbat care bate mingea: ton închis al pielii, minge, ton închis al pielii
⛹‍♀	femeie, femeie care bate mingea, minge
⛹🏻‍♀	femeie, femeie care bate mingea, femeie care bate mingea: ton deschis al pielii, minge, ton deschis al pielii
⛹🏼‍♀	femeie, femeie care bate mingea, femeie care bate mingea: ton semi‑deschis al pielii, minge, ton semi‑deschis al pielii
⛹🏽‍♀	femeie, femeie care bate mingea, femeie care bate mingea: ton mediu al pielii, minge, ton mediu al pielii
⛹🏾‍♀	femeie, femeie care bate mingea, femeie care bate mingea: ton semi‑închis al pielii, minge, ton semi‑închis al pielii
⛹🏿‍♀	femeie, femeie care bate mingea, femeie care bate mingea: ton închis al pielii, minge, ton închis al pielii
🏋️	greutăți, halterofil, persoană care ridică greutăți, ridicare, sport
🏋🏻	greutăți, halterofil, persoană care ridică greutăți, persoană care ridică greutăți: ton deschis al pielii, ridicare, sport, ton deschis al pielii
🏋🏼	greutăți, halterofil, persoană care ridică greutăți, persoană care ridică greutăți: ton semi‑deschis al pielii, ridicare, sport, ton semi‑deschis al pielii
🏋🏽	greutăți, halterofil, persoană care ridică greutăți, persoană care ridică greutăți: ton mediu al pielii, ridicare, sport, ton mediu al pielii
🏋🏾	greutăți, halterofil, persoană care ridică greutăți, persoană care ridică greutăți: ton semi‑închis al pielii, ridicare, sport, ton semi‑închis al pielii
