😀	মুখ, হাঁহি, হাস্য মুখী
🧗🏽‍♂	আৰোহক, আৰোহণ কৰা পুৰুষ, আৰোহণ কৰা পুৰুষ: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং
🧗🏾‍♂	আৰোহক, আৰোহণ কৰা পুৰুষ, আৰোহণ কৰা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং
🧗🏿‍♂	আৰোহক, আৰোহণ কৰা পুৰুষ, আৰোহণ কৰা পুৰুষ: ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং
🧗‍♀	আৰোহক, আৰোহণ কৰা মহিলা
🧗🏻‍♀	আৰোহক, আৰোহণ কৰা মহিলা, আৰোহণ কৰা মহিলা: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং
🧗🏼‍♀	আৰোহক, আৰোহণ কৰা মহিলা, আৰোহণ কৰা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং
🧗🏽‍♀	আৰোহক, আৰোহণ কৰা মহিলা, আৰোহণ কৰা মহিলা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং
🧗🏾‍♀	আৰোহক, আৰোহণ কৰা মহিলা, আৰোহণ কৰা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং
🧗🏿‍♀	আৰোহক, আৰোহণ কৰা মহিলা, আৰোহণ কৰা মহিলা: ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং
🤺	তৰোৱাল, তৰোৱাল খেল, তৰোৱাল খেল খেলা ব্যক্তি, তৰোৱাল খেলুৱৈ
🏇	ঘোঁৰা, ঘোঁৰা দৌৰ, জকি, ৰেচহাউচ, ৰেচিং
🏇🏻	ঘোঁৰা, ঘোঁৰা দৌৰ, ঘোঁৰা দৌৰ: পাতল ছালৰ ৰং, জকি, পাতল ছালৰ ৰং, ৰেচহাউচ, ৰেচিং
🏇🏼	ঘোঁৰা, ঘোঁৰা দৌৰ, ঘোঁৰা দৌৰ: মধ্যমীয়া-পাতল ছালৰ ৰং, জকি, মধ্যমীয়া-পাতল ছালৰ ৰং, ৰেচহাউচ, ৰেচিং
🏇🏽	ঘোঁৰা, ঘোঁৰা দৌৰ, ঘোঁৰা দৌৰ: মধ্যমীয়া ছালৰ ৰং, জকি, মধ্যমীয়া ছালৰ ৰং, ৰেচহাউচ, ৰেচিং
🏇🏾	ঘোঁৰা, ঘোঁৰা দৌৰ, ঘোঁৰা দৌৰ: মধ্যমীয়া-ক’লা ছালৰ ৰং, জকি, মধ্যমীয়া-ক’লা ছালৰ ৰং, ৰেচহাউচ, ৰেচিং
🏇🏿	ক’লা ছালৰ ৰং, ঘোঁৰা, ঘোঁৰা দৌৰ, ঘোঁৰা দৌৰ: ক’লা ছালৰ ৰং, জকি, ৰেচহাউচ, ৰেচিং
⛷️	বৰফ, স্কি, স্কিচালক
🏂️	বৰফ, স্কি, স্নোব’ৰ্ড, স্ন’ব’ৰ্ডাৰ
🏂🏻	পাতল ছালৰ ৰং, বৰফ, স্কি, স্নোব’ৰ্ড, স্ন’ব’ৰ্ডাৰ, স্ন’ব’ৰ্ডাৰ: পাতল ছালৰ ৰং
🏂🏼	বৰফ, মধ্যমীয়া-পাতল ছালৰ ৰং, স্কি, স্নোব’ৰ্ড, স্ন’ব’ৰ্ডাৰ, স্ন’ব’ৰ্ডাৰ: মধ্যমীয়া-পাতল ছালৰ ৰং
🏂🏽	বৰফ, মধ্যমীয়া ছালৰ ৰং, স্কি, স্নোব’ৰ্ড, স্ন’ব’ৰ্ডাৰ, স্ন’ব’ৰ্ডাৰ: মধ্যমীয়া ছালৰ ৰং
🏂🏾	বৰফ, মধ্যমীয়া-ক’লা ছালৰ ৰং, স্কি, স্নোব’ৰ্ড, স্ন’ব’ৰ্ডাৰ, স্ন’ব’ৰ্ডাৰ: মধ্যমীয়া-ক’লা ছালৰ ৰং
🏂🏿	ক’লা ছালৰ ৰং, বৰফ, স্কি, স্নোব’ৰ্ড, স্ন’ব’ৰ্ডাৰ, স্ন’ব’ৰ্ডাৰ: ক’লা ছালৰ ৰং
🏌️	গ’ল্ফ, গ’ল্ফ খেলি থকা ব্যক্তি, বল
🏌🏻	গ’ল্ফ, গ’ল্ফ খেলি থকা ব্যক্তি, গ’ল্ফ খেলি থকা ব্যক্তি: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, বল
🏌🏼	গ’ল্ফ, গ’ল্ফ খেলি থকা ব্যক্তি, গ’ল্ফ খেলি থকা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং, বল, মধ্যমীয়া-পাতল ছালৰ ৰং
🏌🏽	গ’ল্ফ, গ’ল্ফ খেলি থকা ব্যক্তি, গ’ল্ফ খেলি থকা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং, বল, মধ্যমীয়া ছালৰ ৰং
🏌🏾	গ’ল্ফ, গ’ল্ফ খেলি থকা ব্যক্তি, গ’ল্ফ খেলি থকা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং, বল, মধ্যমীয়া-ক’লা ছালৰ ৰং
🏌🏿	ক’লা ছালৰ ৰং, গ’ল্ফ, গ’ল্ফ খেলি থকা ব্যক্তি, গ’ল্ফ খেলি থকা ব্যক্তি: ক’লা ছালৰ ৰং, বল
🏌‍♂	গ’ল্ফ, গ’ল্ফ খেলি থকা পুৰুষ, পুৰুষ
🏌🏻‍♂	গ’ল্ফ, গ’ল্ফ খেলি থকা পুৰুষ, গ’ল্ফ খেলি থকা পুৰুষ: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, পুৰুষ
🏌🏼‍♂	গ’ল্ফ, গ’ল্ফ খেলি থকা পুৰুষ, গ’ল্ফ খেলি থকা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, পুৰুষ, মধ্যমীয়া-পাতল ছালৰ ৰং
🏌🏽‍♂	গ’ল্ফ, গ’ল্ফ খেলি থকা পুৰুষ, গ’ল্ফ খেলি থকা পুৰুষ: মধ্যমীয়া ছালৰ ৰং, পুৰুষ, মধ্যমীয়া ছালৰ ৰং
🏌🏾‍♂	গ’ল্ফ, গ’ল্ফ খেলি থকা পুৰুষ, গ’ল্ফ খেলি থকা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, পুৰুষ, মধ্যমীয়া-ক’লা ছালৰ ৰং
🏌🏿‍♂	ক’লা ছালৰ ৰং, গ’ল্ফ, গ’ল্ফ খেলি থকা পুৰুষ, গ’ল্ফ খেলি থকা পুৰুষ: ক’লা ছালৰ ৰং, পুৰুষ
🏌‍♀	গ’ল্ফ, গ’ল্ফ খেলি থকা মহিলা, মহিলা
🏌🏻‍♀	গ’ল্ফ, গ’ল্ফ খেলি থকা মহিলা, গ’ল্ফ খেলি থকা মহিলা: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, মহিলা
🏌🏼‍♀	গ’ল্ফ, গ’ল্ফ খেলি থকা মহিলা, গ’ল্ফ খেলি থকা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা
🏌🏽‍♀	গ’ল্ফ, গ’ল্ফ খেলি থকা মহিলা, গ’ল্ফ খেলি থকা মহিলা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, মহিলা
🏌🏾‍♀	গ’ল্ফ, গ’ল্ফ খেলি থকা মহিলা, গ’ল্ফ খেলি থকা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা
🏌🏿‍♀	ক’লা ছালৰ ৰং, গ’ল্ফ, গ’ল্ফ খেলি থকা মহিলা, গ’ল্ফ খেলি থকা মহিলা: ক’লা ছালৰ ৰং, মহিলা
🏄️	চাৰ্ফিং, চাৰ্ফিং কৰি থকা ব্যক্তি
🏄🏻	চাৰ্ফিং, চাৰ্ফিং কৰি থকা ব্যক্তি, চাৰ্ফিং কৰি থকা ব্যক্তি: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং
🏄🏼	চাৰ্ফিং, চাৰ্ফিং কৰি থকা ব্যক্তি, চাৰ্ফিং কৰি থকা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং
🏄🏽	চাৰ্ফিং, চাৰ্ফিং কৰি থকা ব্যক্তি, চাৰ্ফিং কৰি থকা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং
🏄🏾	চাৰ্ফিং, চাৰ্ফিং কৰি থকা ব্যক্তি, চাৰ্ফিং কৰি থকা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং
🏄🏿	ক’লা ছালৰ ৰং, চাৰ্ফিং, চাৰ্ফিং কৰি থকা ব্যক্তি, চাৰ্ফিং কৰি থকা ব্যক্তি: ক’লা ছালৰ ৰং
🏄‍♂	চাৰ্ফিং, চাৰ্ফিং কৰি থকা পুৰুষ, পুৰুষ
🏄🏻‍♂	চাৰ্ফিং, চাৰ্ফিং কৰি থকা পুৰুষ, চাৰ্ফিং কৰি থকা পুৰুষ: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, পুৰুষ
🏄🏼‍♂	চাৰ্ফিং, চাৰ্ফিং কৰি থকা পুৰুষ, চাৰ্ফিং কৰি থকা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, পুৰুষ, মধ্যমীয়া-পাতল ছালৰ ৰং
🏄🏽‍♂	চাৰ্ফিং, চাৰ্ফিং কৰি থকা পুৰুষ, চাৰ্ফিং কৰি থকা পুৰুষ: মধ্যমীয়া ছালৰ ৰং, পুৰুষ, মধ্যমীয়া ছালৰ ৰং
🏄🏾‍♂	চাৰ্ফিং, চাৰ্ফিং কৰি থকা পুৰুষ, চাৰ্ফিং কৰি থকা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, পুৰুষ, মধ্যমীয়া-ক’লা ছালৰ ৰং
🏄🏿‍♂	ক’লা ছালৰ ৰং, চাৰ্ফিং, চাৰ্ফিং কৰি থকা পুৰুষ, চাৰ্ফিং কৰি থকা পুৰুষ: ক’লা ছালৰ ৰং, পুৰুষ
🏄‍♀	চাৰ্ফিং, চাৰ্ফিং কৰি থকা মহিলা, মহিলা
🏄🏻‍♀	চাৰ্ফিং, চাৰ্ফিং কৰি থকা মহিলা, চাৰ্ফিং কৰি থকা মহিলা: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, মহিলা
🏄🏼‍♀	চাৰ্ফিং, চাৰ্ফিং কৰি থকা মহিলা, চাৰ্ফিং কৰি থকা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা
🏄🏽‍♀	চাৰ্ফিং, চাৰ্ফিং কৰি থকা মহিলা, চাৰ্ফিং কৰি থকা মহিলা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, মহিলা
