😀	cerenje, lice
🏂🏾	daska, daskanje, daskanje na snijegu, daskanje na snijegu: umjereno tamna boja kože, snijeg, umjereno tamna boja kože
🏂🏿	daska, daskanje, daskanje na snijegu, daskanje na snijegu: tamna boja kože, snijeg, tamna boja kože
🏌️	golf, osoba igra golf
🏌🏻	golf, osoba igra golf, osoba igra golf: svijetla boja kože, svijetla boja kože
🏌🏼	golf, osoba igra golf, osoba igra golf: umjereno svijetla boja kože, umjereno svijetla boja kože
🏌🏽	golf, osoba igra golf, osoba igra golf: umjerena boja kože, umjerena boja kože
🏌🏾	golf, osoba igra golf, osoba igra golf: umjereno tamna boja kože, umjereno tamna boja kože
🏌🏿	golf, osoba igra golf, osoba igra golf: tamna boja kože, tamna boja kože
🏌‍♂	golf, golfer, muškarac
🏌🏻‍♂	golf, golfer, golfer: svijetla boja kože, muškarac, svijetla boja kože
🏌🏼‍♂	golf, golfer, golfer: umjereno svijetla boja kože, muškarac, umjereno svijetla boja kože
🏌🏽‍♂	golf, golfer, golfer: umjerena boja kože, muškarac, umjerena boja kože
🏌🏾‍♂	golf, golfer, golfer: umjereno tamna boja kože, muškarac, umjereno tamna boja kože
🏌🏿‍♂	golf, golfer, golfer: tamna boja kože, muškarac, tamna boja kože
🏌‍♀	golf, golferka, žena
🏌🏻‍♀	golf, golferka, golferka: svijetla boja kože, svijetla boja kože, žena
🏌🏼‍♀	golf, golferka, golferka: umjereno svijetla boja kože, umjereno svijetla boja kože, žena
🏌🏽‍♀	golf, golferka, golferka: umjerena boja kože, umjerena boja kože, žena
🏌🏾‍♀	golf, golferka, golferka: umjereno tamna boja kože, umjereno tamna boja kože, žena
🏌🏿‍♀	golf, golferka, golferka: tamna boja kože, tamna boja kože, žena
🏄️	osoba surfa, surfanje
🏄🏻	osoba surfa, osoba surfa: svijetla boja kože, surfanje, svijetla boja kože
🏄🏼	osoba surfa, osoba surfa: umjereno svijetla boja kože, surfanje, umjereno svijetla boja kože
🏄🏽	osoba surfa, osoba surfa: umjerena boja kože, surfanje, umjerena boja kože
🏄🏾	osoba surfa, osoba surfa: umjereno tamna boja kože, surfanje, umjereno tamna boja kože
🏄🏿	osoba surfa, osoba surfa: tamna boja kože, surfanje, tamna boja kože
🏄‍♂	muškarac, surfanje, surfer
🏄🏻‍♂	muškarac, surfanje, surfer, surfer: svijetla boja kože, svijetla boja kože
🏄🏼‍♂	muškarac, surfanje, surfer, surfer: umjereno svijetla boja kože, umjereno svijetla boja kože
🏄🏽‍♂	muškarac, surfanje, surfer, surfer: umjerena boja kože, umjerena boja kože
🏄🏾‍♂	muškarac, surfanje, surfer, surfer: umjereno tamna boja kože, umjereno tamna boja kože
🏄🏿‍♂	muškarac, surfanje, surfer, surfer: tamna boja kože, tamna boja kože
🏄‍♀	surfanje, surferka, žena
🏄🏻‍♀	surfanje, surferka, surferka: svijetla boja kože, svijetla boja kože, žena
🏄🏼‍♀	surfanje, surferka, surferka: umjereno svijetla boja kože, umjereno svijetla boja kože, žena
🏄🏽‍♀	surfanje, surferka, surferka: umjerena boja kože, umjerena boja kože, žena
🏄🏾‍♀	surfanje, surferka, surferka: umjereno tamna boja kože, umjereno tamna boja kože, žena
🏄🏿‍♀	surfanje, surferka, surferka: tamna boja kože, tamna boja kože, žena
🚣	osoba vesla, veslanje, čamac
🚣🏻	osoba vesla, osoba vesla: svijetla boja kože, svijetla boja kože, veslanje, čamac
🚣🏼	osoba vesla, osoba vesla: umjereno svijetla boja kože, umjereno svijetla boja kože, veslanje, čamac
🚣🏽	osoba vesla, osoba vesla: umjerena boja kože, umjerena boja kože, veslanje, čamac
🚣🏾	osoba vesla, osoba vesla: umjereno tamna boja kože, umjereno tamna boja kože, veslanje, čamac
🚣🏿	osoba vesla, osoba vesla: tamna boja kože, tamna boja kože, veslanje, čamac
🚣‍♂	muškarac, veslanje, veslač, čamac
🚣🏻‍♂	muškarac, svijetla boja kože, veslanje, veslač, veslač: svijetla boja kože, čamac
🚣🏼‍♂	muškarac, umjereno svijetla boja kože, veslanje, veslač, veslač: umjereno svijetla boja kože, čamac
🚣🏽‍♂	muškarac, umjerena boja kože, veslanje, veslač, veslač: umjerena boja kože, čamac
🚣🏾‍♂	muškarac, umjereno tamna boja kože, veslanje, veslač, veslač: umjereno tamna boja kože, čamac
🚣🏿‍♂	muškarac, tamna boja kože, veslanje, veslač, veslač: tamna boja kože, čamac
🚣‍♀	veslanje, veslačica, čamac, žena
🚣🏻‍♀	svijetla boja kože, veslanje, veslačica, veslačica: svijetla boja kože, čamac, žena
🚣🏼‍♀	umjereno svijetla boja kože, veslanje, veslačica, veslačica: umjereno svijetla boja kože, čamac, žena
🚣🏽‍♀	umjerena boja kože, veslanje, veslačica, veslačica: umjerena boja kože, čamac, žena
🚣🏾‍♀	umjereno tamna boja kože, veslanje, veslačica, veslačica: umjereno tamna boja kože, čamac, žena
🚣🏿‍♀	tamna boja kože, veslanje, veslačica, veslačica: tamna boja kože, čamac, žena
🏊️	osoba pliva, plivanje
🏊🏻	osoba pliva, osoba pliva: svijetla boja kože, plivanje, svijetla boja kože
🏊🏼	osoba pliva, osoba pliva: umjereno svijetla boja kože, plivanje, umjereno svijetla boja kože
🏊🏽	osoba pliva, osoba pliva: umjerena boja kože, plivanje, umjerena boja kože
🏊🏾	osoba pliva, osoba pliva: umjereno tamna boja kože, plivanje, umjereno tamna boja kože
🏊🏿	osoba pliva, osoba pliva: tamna boja kože, plivanje, tamna boja kože
🏊‍♂	muškarac, plivanje, plivač
🏊🏻‍♂	muškarac, plivanje, plivač, plivač: svijetla boja kože, svijetla boja kože
🏊🏼‍♂	muškarac, plivanje, plivač, plivač: umjereno svijetla boja kože, umjereno svijetla boja kože
🏊🏽‍♂	muškarac, plivanje, plivač, plivač: umjerena boja kože, umjerena boja kože
🏊🏾‍♂	muškarac, plivanje, plivač, plivač: umjereno tamna boja kože, umjereno tamna boja kože
🏊🏿‍♂	muškarac, plivanje, plivač, plivač: tamna boja kože, tamna boja kože
🏊‍♀	plivanje, plivačica, žena
🏊🏻‍♀	plivanje, plivačica, plivačica: svijetla boja kože, svijetla boja kože, žena
🏊🏼‍♀	plivanje, plivačica, plivačica: umjereno svijetla boja kože, umjereno svijetla boja kože, žena
🏊🏽‍♀	plivanje, plivačica, plivačica: umjerena boja kože, umjerena boja kože, žena
🏊🏾‍♀	plivanje, plivačica, plivačica: umjereno tamna boja kože, umjereno tamna boja kože, žena
🏊🏿‍♀	plivanje, plivačica, plivačica: tamna boja kože, tamna boja kože, žena
⛹️	lopta, osoba s loptom
⛹🏻	lopta, osoba s loptom, osoba s loptom: svijetla boja kože, svijetla boja kože
⛹🏼	lopta, osoba s loptom, osoba s loptom: umjereno svijetla boja kože, umjereno svijetla boja kože
⛹🏽	lopta, osoba s loptom, osoba s loptom: umjerena boja kože, umjerena boja kože
⛹🏾	lopta, osoba s loptom, osoba s loptom: umjereno tamna boja kože, umjereno tamna boja kože
⛹🏿	lopta, osoba s loptom, osoba s loptom: tamna boja kože, tamna boja kože
⛹‍♂	lopta, muškarac, muškarac s loptom
⛹🏻‍♂	lopta, muškarac, muškarac s loptom, muškarac s loptom: svijetla boja kože, svijetla boja kože
⛹🏼‍♂	lopta, muškarac, muškarac s loptom, muškarac s loptom: umjereno svijetla boja kože, umjereno svijetla boja kože
⛹🏽‍♂	lopta, muškarac, muškarac s loptom, muškarac s loptom: umjerena boja kože, umjerena boja kože
⛹🏾‍♂	lopta, muškarac, muškarac s loptom, muškarac s loptom: umjereno tamna boja kože, umjereno tamna boja kože
⛹🏿‍♂	lopta, muškarac, muškarac s loptom, muškarac s loptom: tamna boja kože, tamna boja kože
⛹‍♀	lopta, žena, žena s loptom
⛹🏻‍♀	lopta, svijetla boja kože, žena, žena s loptom, žena s loptom: svijetla boja kože
⛹🏼‍♀	lopta, umjereno svijetla boja kože, žena, žena s loptom, žena s loptom: umjereno svijetla boja kože
⛹🏽‍♀	lopta, umjerena boja kože, žena, žena s loptom, žena s loptom: umjerena boja kože
⛹🏾‍♀	lopta, umjereno tamna boja kože, žena, žena s loptom, žena s loptom: umjereno tamna boja kože
⛹🏿‍♀	lopta, tamna boja kože, žena, žena s loptom, žena s loptom: tamna boja kože
🏋️	dizač tegova, osoba diže tegove, tegovi, težina
🏋🏻	dizač tegova, osoba diže tegove, osoba diže tegove: svijetla boja kože, svijetla boja kože, tegovi, težina
🏋🏼	dizač tegova, osoba diže tegove, osoba diže tegove: umjereno svijetla boja kože, tegovi, težina, umjereno svijetla boja kože
🏋🏽	dizač tegova, osoba diže tegove, osoba diže tegove: umjerena boja kože, tegovi, težina, umjerena boja kože
🏋🏾	dizač tegova, osoba diže tegove, osoba diže tegove: umjereno tamna boja kože, tegovi, težina, umjereno tamna boja kože
🏋🏿	dizač tegova, osoba diže tegove, osoba diže tegove: tamna boja kože, tamna boja kože, tegovi, težina
🏋‍♂	dizač tegova, muškarac, tegovi, težina
🏋🏻‍♂	dizač tegova, dizač tegova: svijetla boja kože, muškarac, svijetla boja kože, tegovi, težina
🏋🏼‍♂	dizač tegova, dizač tegova: umjereno svijetla boja kože, muškarac, tegovi, težina, umjereno svijetla boja kože
🏋🏽‍♂	dizač tegova, dizač tegova: umjerena boja kože, muškarac, tegovi, težina, umjerena boja kože
🏋🏾‍♂	dizač tegova, dizač tegova: umjereno tamna boja kože, muškarac, tegovi, težina, umjereno tamna boja kože
🏋🏿‍♂	dizač tegova, dizač tegova: tamna boja kože, muškarac, tamna boja kože, tegovi, težina
🏋‍♀	dizač tegova, dizačica tegova, tegovi, težina, žena
🏋🏻‍♀	dizač tegova, dizačica tegova, dizačica tegova: svijetla boja kože, svijetla boja kože, tegovi, težina, žena
🏋🏼‍♀	dizač tegova, dizačica tegova, dizačica tegova: umjereno svijetla boja kože, tegovi, težina, umjereno svijetla boja kože, žena
🏋🏽‍♀	dizač tegova, dizačica tegova, dizačica tegova: umjerena boja kože, tegovi, težina, umjerena boja kože, žena
🏋🏾‍♀	dizač tegova, dizačica tegova, dizačica tegova: umjereno tamna boja kože, tegovi, težina, umjereno tamna boja kože, žena
🏋🏿‍♀	dizač tegova, dizačica tegova, dizačica tegova: tamna boja kože, tamna boja kože, tegovi, težina, žena
🚴	bicikl, biciklizam, osoba na biciklu
🚴🏻	bicikl, biciklizam, osoba na biciklu, osoba na biciklu: svijetla boja kože, svijetla boja kože
🚴🏼	bicikl, biciklizam, osoba na biciklu, osoba na biciklu: umjereno svijetla boja kože, umjereno svijetla boja kože
🚴🏽	bicikl, biciklizam, osoba na biciklu, osoba na biciklu: umjerena boja kože, umjerena boja kože
🚴🏾	bicikl, biciklizam, osoba na biciklu, osoba na biciklu: umjereno tamna boja kože, umjereno tamna boja kože
🚴🏿	bicikl, biciklizam, osoba na biciklu, osoba na biciklu: tamna boja kože, tamna boja kože
🚴‍♂	bicikl, biciklista, biciklizam, muškarac
🚴🏻‍♂	bicikl, biciklista, biciklista: svijetla boja kože, biciklizam, muškarac, svijetla boja kože
🚴🏼‍♂	bicikl, biciklista, biciklista: umjereno svijetla boja kože, biciklizam, muškarac, umjereno svijetla boja kože
🚴🏽‍♂	bicikl, biciklista, biciklista: umjerena boja kože, biciklizam, muškarac, umjerena boja kože
🚴🏾‍♂	bicikl, biciklista, biciklista: umjereno tamna boja kože, biciklizam, muškarac, umjereno tamna boja kože
🚴🏿‍♂	bicikl, biciklista, biciklista: tamna boja kože, biciklizam, muškarac, tamna boja kože
🚴‍♀	bicikl, biciklistkinja, biciklizam, žena
🚴🏻‍♀	bicikl, biciklistkinja, biciklistkinja: svijetla boja kože, biciklizam, svijetla boja kože, žena
🚴🏼‍♀	bicikl, biciklistkinja, biciklistkinja: umjereno svijetla boja kože, biciklizam, umjereno svijetla boja kože, žena
🚴🏽‍♀	bicikl, biciklistkinja, biciklistkinja: umjerena boja kože, biciklizam, umjerena boja kože, žena
🚴🏾‍♀	bicikl, biciklistkinja, biciklistkinja: umjereno tamna boja kože, biciklizam, umjereno tamna boja kože, žena
🚴🏿‍♀	bicikl, biciklistkinja, biciklistkinja: tamna boja kože, biciklizam, tamna boja kože, žena
🚵	bicikl, biciklizam, brdski, osoba u brdskom biciklizmu
🚵🏻	bicikl, biciklizam, brdski, osoba u brdskom biciklizmu, osoba u brdskom biciklizmu: svijetla boja kože, svijetla boja kože
🚵🏼	bicikl, biciklizam, brdski, osoba u brdskom biciklizmu, osoba u brdskom biciklizmu: umjereno svijetla boja kože, umjereno svijetla boja kože
🚵🏽	bicikl, biciklizam, brdski, osoba u brdskom biciklizmu, osoba u brdskom biciklizmu: umjerena boja kože, umjerena boja kože
🚵🏾	bicikl, biciklizam, brdski, osoba u brdskom biciklizmu, osoba u brdskom biciklizmu: umjereno tamna boja kože, umjereno tamna boja kože
🚵🏿	bicikl, biciklizam, brdski, osoba u brdskom biciklizmu, osoba u brdskom biciklizmu: tamna boja kože, tamna boja kože
🚵‍♂	bicikl, biciklizam, brdski bicklista, muškarac, planina
🚵🏻‍♂	bicikl, biciklizam, brdski bicklista, brdski bicklista: svijetla boja kože, muškarac, planina, svijetla boja kože
🚵🏼‍♂	bicikl, biciklizam, brdski bicklista, brdski bicklista: umjereno svijetla boja kože, muškarac, planina, umjereno svijetla boja kože
🚵🏽‍♂	bicikl, biciklizam, brdski bicklista, brdski bicklista: umjerena boja kože, muškarac, planina, umjerena boja kože
🚵🏾‍♂	bicikl, biciklizam, brdski bicklista, brdski bicklista: umjereno tamna boja kože, muškarac, planina, umjereno tamna boja kože
🚵🏿‍♂	bicikl, biciklizam, brdski bicklista, brdski bicklista: tamna boja kože, muškarac, planina, tamna boja kože
🚵‍♀	bicikl, biciklizam, brdska bicklistkinja, planina, žena
🚵🏻‍♀	bicikl, biciklizam, brdska bicklistkinja, brdska bicklistkinja: svijetla boja kože, planina, svijetla boja kože, žena
🚵🏼‍♀	bicikl, biciklizam, brdska bicklistkinja, brdska bicklistkinja: umjereno svijetla boja kože, planina, umjereno svijetla boja kože, žena
🚵🏽‍♀	bicikl, biciklizam, brdska bicklistkinja, brdska bicklistkinja: umjerena boja kože, planina, umjerena boja kože, žena
🚵🏾‍♀	bicikl, biciklizam, brdska bicklistkinja, brdska bicklistkinja: umjereno tamna boja kože, planina, umjereno tamna boja kože, žena
🚵🏿‍♀	bicikl, biciklizam, brdska bicklistkinja, brdska bicklistkinja: tamna boja kože, planina, tamna boja kože, žena
🤸	gimnastika, osoba, sport, zvijezda
🤸🏻	gimnastika, osoba, sport, svijetla boja kože, zvijezda, zvijezda: svijetla boja kože
🤸🏼	gimnastika, osoba, sport, umjereno svijetla boja kože, zvijezda, zvijezda: umjereno svijetla boja kože
🤸🏽	gimnastika, osoba, sport, umjerena boja kože, zvijezda, zvijezda: umjerena boja kože
🤸🏾	gimnastika, osoba, sport, umjereno tamna boja kože, zvijezda, zvijezda: umjereno tamna boja kože
🤸🏿	gimnastika, osoba, sport, tamna boja kože, zvijezda, zvijezda: tamna boja kože
🤸‍♂	gimnastika, muškarac, muškarac pravi premet, premet
🤸🏻‍♂	gimnastika, muškarac, muškarac pravi premet, muškarac pravi premet: svijetla boja kože, premet, svijetla boja kože
🤸🏼‍♂	gimnastika, muškarac, muškarac pravi premet, muškarac pravi premet: umjereno svijetla boja kože, premet, umjereno svijetla boja kože
🤸🏽‍♂	gimnastika, muškarac, muškarac pravi premet, muškarac pravi premet: umjerena boja kože, premet, umjerena boja kože
🤸🏾‍♂	gimnastika, muškarac, muškarac pravi premet, muškarac pravi premet: umjereno tamna boja kože, premet, umjereno tamna boja kože
🤸🏿‍♂	gimnastika, muškarac, muškarac pravi premet, muškarac pravi premet: tamna boja kože, premet, tamna boja kože
🤸‍♀	gimnastika, premet, žena, žena pravi premet
🤸🏻‍♀	gimnastika, premet, svijetla boja kože, žena, žena pravi premet, žena pravi premet: svijetla boja kože
🤸🏼‍♀	gimnastika, premet, umjereno svijetla boja kože, žena, žena pravi premet, žena pravi premet: umjereno svijetla boja kože
🤸🏽‍♀	gimnastika, premet, umjerena boja kože, žena, žena pravi premet, žena pravi premet: umjerena boja kože
🤸🏾‍♀	gimnastika, premet, umjereno tamna boja kože, žena, žena pravi premet, žena pravi premet: umjereno tamna boja kože
